Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Credit_Risk,Total_Credit_Score,reject
40,male,Unskilled-Resident,rent,quite rich,little,1597,10,car,Good,811.0466457092598,Accepted
35,female,Skilled,own,little,little,1381,24,car,Good,775.981891513679,Accepted
33,male,Unskilled-Resident,own,little,little,2579,12,car,Good,543.4443394090835,Accepted
31,female,Highly Skilled,own,quite rich,little,2782,21,car,Good,509.96694625828144,Accepted
33,female,Skilled,own,little,moderate,1042,18,car,Good,784.3253655650055,Accepted
20,female,Skilled,rent,rich,little,3186,15,car,Good,564.8513514050817,Accepted
30,male,Skilled,own,little,moderate,2028,12,car,Good,803.0329698698613,Accepted
47,male,Unskilled-Resident,own,little,moderate,958,12,car,Good,799.6434228951282,Accepted
34,male,Highly Skilled,own,moderate,little,1591,21,furniture/equipment,Good,766.0478370072947,Accepted
25,female,Skilled,own,little,moderate,2762,12,furniture/equipment,Good,573.3990635892546,Accepted
21,male,Skilled,rent,little,moderate,2779,18,car,Good,524.9249147357816,Accepted
29,male,Skilled,own,little,little,2743,28,radio/TV,Good,504.08016913161043,Accepted
46,male,Skilled,own,rich,little,1149,18,radio/TV,Good,815.8575458724948,Accepted
20,male,Skilled,own,little,little,1313,9,furniture/equipment,Good,842.2763674468371,Accepted
55,female,Unskilled-Non Resident,free,little,little,1190,18,repairs,Good,800.6381945288884,Accepted
74,male,Unskilled-Resident,own,little,little,3448,5,business,Good,552.1912267086152,Accepted
36,male,Highly Skilled,free,little,little,1872,6,furniture/equipment,Good,799.7396364638754,Accepted
33,male,Skilled,own,little,little,2058,24,repairs,Good,792.8365065748349,Accepted
25,male,Skilled,own,little,little,2136,9,furniture/equipment,Good,842.2763674468371,Accepted
25,male,Skilled,own,little,moderate,1484,12,radio/TV,Good,832.4351757244261,Accepted
23,male,Unskilled-Resident,rent,quite rich,little,660,6,repairs,Good,855.9748328128226,Accepted
37,female,Skilled,own,rich,little,1287,24,car,Good,794.0490037347455,Accepted
26,female,Unskilled-Non Resident,own,little,rich,609,12,business,Good,857.4171524953592,Accepted
39,male,Highly Skilled,own,little,little,1884,12,car,Good,766.8065218281154,Accepted
30,female,Skilled,own,little,little,1620,12,furniture/equipment,Good,823.2878641340835,Accepted
29,male,Skilled,own,little,moderate,2629,20,vacation/others,Good,541.5913501653836,Accepted
41,male,Unskilled-Resident,own,little,little,719,12,education,Good,817.0505562818903,Accepted
41,female,Unskilled-Resident,rent,little,little,1244,9,education,Good,825.3708620266804,Accepted
34,female,Skilled,own,little,little,1842,36,car,Good,746.8141845312324,Accepted
35,male,Skilled,own,little,moderate,2576,7,radio/TV,Good,575.2831496219644,Accepted
55,female,Highly Skilled,own,little,rich,1424,12,furniture/equipment,Good,828.8980079244266,Accepted
61,male,Skilled,own,rich,moderate,1512,15,repairs,Good,834.8691094432684,Accepted
29,female,Skilled,own,little,little,518,6,radio/TV,Good,837.7195409602023,Accepted
34,male,Skilled,own,little,little,2759,12,furniture/equipment,Good,560.8514727958456,Accepted
35,male,Highly Skilled,own,little,little,2670,24,car,Good,480.7085991084282,Accepted
31,male,Skilled,own,little,little,4817,24,car,Good,513.5455001754409,Accepted
29,female,Highly Skilled,own,little,little,2679,24,car,Good,483.5563599858883,Accepted
36,male,Skilled,rent,little,little,3905,11,car,Good,536.7804500021485,Accepted
35,male,Skilled,free,little,little,3386,12,car,Good,543.4443394090835,Accepted
27,female,Skilled,own,little,little,343,6,domestic appliances,Good,845.1241283242972,Accepted
32,male,Skilled,own,little,little,4594,18,radio/TV,Good,541.5913501653836,Accepted
37,male,Skilled,own,little,little,3620,36,furniture/equipment,Good,501.78492657975653,Accepted
36,male,Skilled,own,little,little,1721,15,car,Good,800.489168258319,Accepted
34,female,Highly Skilled,rent,little,moderate,3017,12,furniture/equipment,Good,524.1984431993579,Accepted
38,male,Skilled,own,little,moderate,754,12,education,Good,820.4401032566234,Accepted
34,male,Skilled,own,little,little,1950,18,business,Good,781.4776046875454,Accepted
63,male,Skilled,own,little,little,2924,24,car,Good,510.1559532007078,Accepted
29,female,Unskilled-Resident,rent,little,little,1659,24,radio/TV,Good,789.0203780453601,Accepted
26,female,Skilled,own,little,little,2764,33,business,Good,496.92538398640346,Accepted
35,male,Unskilled-Resident,own,little,little,4679,24,car,Good,513.5455001754409,Accepted
22,male,Skilled,rent,moderate,moderate,3092,24,radio/TV,Good,536.2838166230711,Accepted
23,female,Skilled,own,little,little,448,6,education,Good,845.1241283242972,Accepted
28,male,Unskilled-Resident,own,little,little,654,9,car,Good,824.869234060075,Accepted
36,male,Highly Skilled,own,little,little,1238,6,education,Good,799.7396364638754,Accepted
33,male,Skilled,own,little,moderate,1245,18,radio/TV,Good,801.1799806261614,Accepted
26,female,Skilled,rent,little,little,3114,18,furniture/equipment,Good,545.1798090000038,Accepted
25,male,Skilled,own,little,rich,5152,24,radio/TV,Good,584.784297862095,Accepted
39,male,Unskilled-Resident,own,moderate,moderate,1037,12,business,Good,799.6434228951282,Accepted
44,male,Skilled,own,little,little,1478,15,furniture/equipment,Good,814.506754670348,Accepted
23,female,Unskilled-Resident,own,little,moderate,3573,12,radio/TV,Good,575.6943061411085,Accepted
26,male,Skilled,own,little,moderate,1201,24,car,Good,782.8339605521677,Accepted
57,female,Skilled,rent,rich,little,3622,30,furniture/equipment,Good,512.6463632966152,Accepted
30,female,Skilled,own,rich,little,960,15,furniture/equipment,Good,838.8111747436077,Accepted
44,male,Skilled,own,quite rich,little,1163,12,car,Good,817.7105351161947,Accepted
47,male,Highly Skilled,own,little,moderate,1209,6,car,Good,778.9429561023802,Accepted
52,male,Skilled,own,little,little,3077,12,radio/TV,Good,559.7571683729664,Accepted
62,female,Skilled,free,little,little,3757,24,car,Good,513.003714078168,Accepted
35,male,Unskilled-Resident,rent,moderate,little,1418,10,car,Good,796.3690804629264,Accepted
26,male,Skilled,rent,little,little,3518,6,car,Good,558.6167141923623,Accepted
26,male,Skilled,own,little,little,1934,12,radio/TV,Good,832.4351757244261,Accepted
27,female,Skilled,own,moderate,little,1237,6,radio/TV,Good,847.4193708761511,Accepted
38,male,Skilled,own,little,moderate,368,6,radio/TV,Good,834.8717800827421,Accepted
39,male,Unskilled-Resident,rent,little,little,2122,12,car,Good,792.9795334881933,Accepted
20,male,Skilled,own,little,little,2996,24,furniture/equipment,Good,540.6524634781521,Accepted
40,male,Skilled,own,little,little,1585,24,furniture/equipment,Good,787.1517170482479,Accepted
32,male,Unskilled-Resident,own,little,moderate,1301,18,radio/TV,Good,801.1799806261614,Accepted
28,male,Skilled,own,moderate,rich,1323,6,car,Good,866.705825892164,Accepted
27,female,Skilled,own,little,little,3123,24,car,Good,526.09309096885,Accepted
49,male,Skilled,own,moderate,rich,1126,9,radio/TV,Good,873.318824940098,Accepted
38,male,Skilled,own,moderate,moderate,1216,24,radio/TV,Good,792.8365065748349,Accepted
24,female,Skilled,rent,little,little,1207,24,car,Good,779.0178320226929,Accepted
27,male,Unskilled-Resident,own,little,little,1309,10,car,Good,812.7327997858101,Accepted
36,male,Skilled,own,quite rich,rich,2360,15,car,Good,600.8042418506967,Accepted
28,male,Skilled,own,little,little,1413,24,radio/TV,Good,802.5363364907837,Accepted
26,male,Skilled,own,little,little,759,12,car,Good,812.7327997858101,Accepted
26,male,Skilled,rent,little,rich,2687,15,business,Good,585.773070138644,Accepted
20,male,Skilled,rent,little,moderate,585,12,radio/TV,Good,825.7712863174912,Accepted
54,male,Skilled,own,little,little,2255,24,car,Good,769.7445836614858,Accepted
37,female,Skilled,own,little,little,609,6,car,Good,818.0171650215863,Accepted
40,male,Unskilled-Resident,own,little,little,1361,6,car,Good,811.779857169393,Accepted
43,male,Skilled,own,moderate,little,1203,6,car,Good,811.779857169393,Accepted
36,male,Skilled,free,little,little,700,6,radio/TV,Good,834.8717800827421,Accepted
24,female,Skilled,own,little,little,3190,18,radio/TV,Good,554.1389409587927,Accepted
23,female,Skilled,own,moderate,little,3488,24,car,Good,526.09309096885,Accepted
26,female,Unskilled-Resident,own,little,moderate,1113,18,radio/TV,Good,813.7275714195704,Accepted
31,female,Skilled,own,moderate,little,1532,15,education,Good,820.7440625225412,Accepted
42,male,Unskilled-Resident,own,little,little,1503,4,radio/TV,Good,831.482233108009,Accepted
31,male,Skilled,rent,little,little,2302,36,radio/TV,Good,757.0049101854534,Accepted
41,male,Unskilled-Resident,own,little,little,662,6,car,Good,811.779857169393,Accepted
32,male,Skilled,own,little,moderate,2273,36,education,Good,761.3735570405344,Accepted
28,female,Skilled,rent,moderate,moderate,2631,15,car,Good,546.7842391840152,Accepted
41,male,Skilled,rent,little,little,1503,12,car,Good,792.9795334881933,Accepted
26,male,Skilled,own,moderate,little,1311,24,radio/TV,Good,802.5363364907837,Accepted
25,male,Skilled,own,little,little,3105,24,radio/TV,Good,542.947706030006,Accepted
33,male,Skilled,rent,little,rich,2319,21,education,Good,834.0574404994616,Accepted
75,female,Highly Skilled,own,little,little,1374,6,car,Good,781.7907169798403,Accepted
37,female,Skilled,own,little,moderate,3612,18,furniture/equipment,Good,542.1438684909898,Accepted
45,female,Unskilled-Resident,own,little,rich,3049,18,furniture/equipment,Good,580.5909133483457,Accepted
23,male,Skilled,rent,little,moderate,1534,12,radio/TV,Good,825.7712863174912,Accepted
60,male,Skilled,free,little,little,2032,24,car,Good,769.7445836614858,Accepted
34,male,Unskilled-Resident,own,little,rich,2864,18,furniture/equipment,Good,581.1326994456186,Accepted
61,male,Unskilled-Resident,own,little,little,1255,12,car,Good,799.6434228951282,Accepted
43,male,Skilled,free,little,little,1333,24,car,Good,769.7445836614858,Accepted
37,female,Skilled,own,little,little,2022,24,car,Good,775.981891513679,Accepted
32,male,Skilled,own,little,little,1552,24,radio/TV,Good,792.8365065748349,Accepted
24,female,Unskilled-Resident,own,little,little,626,12,radio/TV,Good,835.2829366018863,Accepted
23,female,Skilled,own,little,little,996,12,repairs,Good,835.2829366018863,Accepted
45,male,Unskilled-Resident,own,quite rich,little,1750,6,radio/TV,Good,849.5493453290755,Accepted
27,male,Skilled,own,moderate,moderate,1995,12,car,Good,812.7327997858101,Accepted
67,female,Highly Skilled,own,little,moderate,1199,9,education,Good,799.1978503666024,Accepted
22,male,Skilled,own,little,moderate,1331,12,radio/TV,Good,832.4351757244261,Accepted
28,female,Skilled,own,moderate,moderate,2278,18,car,Good,794.0251954809544,Accepted
29,female,Skilled,own,little,little,5003,21,car,Good,524.7367351042277,Accepted
27,male,Skilled,own,little,little,3552,24,furniture/equipment,Good,540.6524634781521,Accepted
31,male,Unskilled-Resident,own,little,moderate,1928,18,furniture/equipment,Good,798.8847380743075,Accepted
49,male,Skilled,free,little,little,2964,24,car,Good,510.1559532007078,Accepted
24,male,Unskilled-Resident,rent,little,little,1546,24,radio/TV,Good,795.8724470838488,Accepted
29,female,Skilled,own,little,rich,683,6,radio/TV,Good,879.5561327922912,Accepted
37,male,Highly Skilled,own,little,moderate,4712,24,business,Good,480.7085991084282,Accepted
23,female,Skilled,rent,moderate,moderate,1553,24,radio/TV,Good,798.7202079613089,Accepted
36,male,Skilled,own,little,little,1372,12,car,Good,803.0329698698613,Accepted
34,male,Skilled,own,rich,little,2578,24,radio/TV,Good,551.3149883351234,Accepted
23,female,Unskilled-Resident,rent,little,little,3234,24,furniture/equipment,Good,536.8363349486773,Accepted
22,female,Unskilled-Resident,own,little,little,806,15,business,Good,813.0367590517279,Accepted
27,male,Unskilled-Resident,own,little,moderate,1082,9,radio/TV,Good,844.571609998691,Accepted
24,female,Skilled,own,little,little,2788,15,furniture/equipment,Good,570.8552619777123,Accepted
27,female,Skilled,own,little,moderate,2930,12,radio/TV,Good,575.6943061411085,Accepted
33,female,Skilled,own,little,little,1927,24,education,Good,793.3890249004411,Accepted
27,male,Unskilled-Resident,own,little,little,937,24,education,Good,800.2410939389298,Accepted
30,male,Skilled,own,little,moderate,1056,18,car,Good,781.4776046875454,Accepted
49,male,Unskilled-Resident,own,little,moderate,3124,12,car,Good,540.0547924343504,Accepted
26,female,Skilled,rent,little,little,1388,9,furniture/equipment,Good,838.4602389173623,Accepted
33,male,Unskilled-Resident,rent,little,moderate,2384,36,repairs,Good,497.4162797246755,Accepted
52,female,Highly Skilled,free,little,little,2133,12,car,Good,769.6542827055755,Accepted
20,female,Skilled,rent,little,little,2039,18,furniture/equipment,Good,804.7684394607816,Accepted
36,male,Skilled,rent,little,little,2799,9,car,Good,548.9168842764134,Accepted
21,male,Unskilled-Resident,own,little,little,1289,12,furniture/equipment,Good,830.1399331725722,Accepted
47,male,Unskilled-Resident,own,little,little,1217,18,domestic appliances,Good,795.4951910995744,Accepted
60,male,Skilled,own,little,little,2246,12,furniture/equipment,Good,817.0505562818903,Accepted
58,female,Unskilled-Resident,own,little,little,385,12,radio/TV,Good,822.1935597112043,Accepted
42,female,Skilled,rent,little,moderate,1965,24,car,Good,765.928455132011,Accepted
36,female,Unskilled-Resident,own,rich,little,1572,21,business,Good,802.392477786072,Accepted
20,female,Unskilled-Resident,rent,little,moderate,2718,24,car,Good,519.4292015619151,Accepted
40,male,Highly Skilled,own,little,little,1358,24,vacation/others,Good,756.6100585330889,Accepted
32,female,Unskilled-Resident,own,moderate,moderate,931,6,car,Good,818.0171650215863,Accepted
23,female,Skilled,rent,little,little,1442,24,car,Good,779.0178320226929,Accepted
36,male,Unskilled-Resident,own,little,moderate,4241,24,business,Good,513.5455001754409,Accepted
31,male,Skilled,own,little,little,2775,18,car,Good,521.8889742267676,Accepted
32,male,Skilled,free,little,little,3863,24,business,Good,513.5455001754409,Accepted
45,female,Skilled,own,little,moderate,2329,7,radio/TV,Good,574.7413635246915,Accepted
30,female,Skilled,own,little,moderate,918,9,furniture/equipment,Good,835.4242984083484,Accepted
34,female,Unskilled-Resident,free,little,moderate,1837,24,education,Good,793.3890249004411,Accepted
28,female,Highly Skilled,own,little,little,3349,36,furniture/equipment,Good,481.4956163061529,Accepted
23,female,Skilled,own,little,rich,1275,10,furniture/equipment,Good,874.8242858821213,Accepted
22,male,Skilled,own,quite rich,little,2828,24,furniture/equipment,Good,558.7195756992186,Accepted
50,female,Skilled,free,moderate,moderate,2671,36,radio/TV,Good,503.53838303433747,Accepted
33,male,Skilled,own,little,little,2051,18,radio/TV,Good,801.1799806261614,Accepted
45,male,Skilled,free,little,little,1300,15,car,Good,797.0996212835859,Accepted
22,female,Skilled,own,moderate,little,741,12,domestic appliances,Good,832.9876940500324,Accepted
48,female,Unskilled-Resident,free,moderate,rich,1240,10,car,Good,844.3277756046773,Accepted
29,female,Skilled,own,rich,little,3357,21,radio/TV,Good,562.5062232639102,Accepted
22,female,Skilled,rent,little,little,3632,24,car,Good,519.4292015619151,Accepted
22,female,Skilled,own,little,little,1808,18,furniture/equipment,Good,811.4323288677165,Accepted
37,male,Skilled,rent,little,little,3676,6,car,Good,548.9168842764134,Accepted
21,female,Skilled,rent,moderate,moderate,3441,30,furniture/equipment,Good,507.6686279662307,Accepted
49,male,Unskilled-Resident,own,little,little,640,12,car,Good,799.6434228951282,Accepted
27,male,Skilled,own,little,moderate,3652,21,business,Good,531.5888041427165,Accepted
32,male,Skilled,own,little,little,1530,18,car,Good,781.4776046875454,Accepted
22,female,Skilled,rent,little,little,1858,12,furniture/equipment,Good,826.3238046430974,Accepted
65,male,Skilled,free,little,little,2600,18,radio/TV,Good,538.2018031906505,Accepted
35,male,Skilled,own,little,little,1979,15,radio/TV,Good,820.191544196935,Accepted
41,male,Skilled,own,little,rich,2116,6,furniture/equipment,Good,871.0235823882441,Accepted
29,male,Skilled,own,moderate,moderate,1437,9,car,Good,815.1694041441261,Accepted
36,male,Skilled,own,quite rich,little,4042,42,furniture/equipment,Good,493.62454341910177,Accepted
64,male,Unskilled-Resident,own,little,little,3832,9,education,Good,569.5983600953774,Accepted
28,female,Skilled,own,little,little,3660,24,radio/TV,Good,545.7954669074661,Accepted
44,male,Skilled,own,little,little,1553,18,furniture/equipment,Good,795.4951910995744,Accepted
23,male,Skilled,own,little,moderate,1444,15,radio/TV,Good,829.8913741128838,Accepted
19,female,Skilled,rent,little,little,1980,9,furniture/equipment,Good,838.4602389173623,Accepted
25,female,Unskilled-Resident,own,little,moderate,1355,24,car,Good,785.6817214296278,Accepted
47,male,Skilled,own,little,little,1393,12,education,Good,817.0505562818903,Accepted
28,female,Skilled,own,quite rich,little,1376,24,radio/TV,Good,823.4512095893103,Accepted
34,female,Skilled,own,little,little,1493,12,radio/TV,Good,825.5831066859374,Accepted
26,male,Skilled,own,little,little,4370,42,radio/TV,Good,487.55250366583806,Accepted
27,female,Unskilled-Non Resident,own,little,little,750,18,education,Good,811.4323288677165,Accepted
38,male,Unskilled-Resident,own,little,moderate,1308,15,repairs,Good,820.191544196935,Accepted
40,male,Highly Skilled,own,moderate,little,4623,15,education,Good,522.0812231425573,Accepted
33,male,Skilled,own,little,little,1851,24,radio/TV,Good,792.8365065748349,Accepted
32,male,Highly Skilled,own,little,little,1880,18,radio/TV,Good,768.3430795591486,Accepted
32,male,Skilled,own,little,little,4583,30,furniture/equipment,Good,501.78492657975653,Accepted
26,female,Skilled,own,quite rich,little,1386,12,car,Good,833.6476728843368,Accepted
38,male,Skilled,free,little,rich,947,24,car,Good,814.9707224683078,Accepted
40,male,Unskilled-Resident,rent,little,little,684,12,education,Good,810.3866668749554,Accepted
37,male,Unskilled-Resident,own,little,moderate,1922,12,furniture/equipment,Good,820.4401032566234,Accepted
45,male,Skilled,own,little,little,2303,24,car,Good,769.7445836614858,Accepted
35,male,Skilled,own,little,little,2346,24,car,Good,513.5455001754409,Accepted
22,male,Skilled,free,little,little,3973,14,car,Good,550.60036771349,Accepted
41,male,Unskilled-Resident,own,little,moderate,888,12,car,Good,799.6434228951282,Accepted
28,female,Skilled,own,little,moderate,4221,30,business,Good,496.92538398640346,Accepted
23,male,Skilled,rent,little,rich,1297,12,radio/TV,Good,867.6078781495802,Accepted
23,male,Skilled,own,little,little,900,12,car,Good,812.7327997858101,Accepted
50,male,Skilled,own,little,little,2241,21,furniture/equipment,Good,795.4951910995744,Accepted
35,male,Highly Skilled,own,little,moderate,1050,6,furniture/equipment,Good,799.7396364638754,Accepted
50,female,Unskilled-Resident,own,little,rich,1047,6,education,Good,873.8713432657042,Accepted
34,male,Skilled,own,rich,moderate,3496,30,furniture/equipment,Good,519.852038800823,Accepted
43,male,Skilled,rent,little,little,4843,12,car,Good,533.3909030274154,Accepted
47,male,Skilled,own,little,rich,3017,30,radio/TV,Good,542.5272139889663,Accepted
27,male,Unskilled-Resident,own,moderate,little,4139,24,business,Good,523.2453300913899,Accepted
24,male,Skilled,own,quite rich,little,2080,6,car,Good,842.9363462811415,Accepted
41,male,Unskilled-Resident,own,quite rich,little,2580,21,business,Good,536.566539473101,Accepted
26,female,Highly Skilled,rent,little,little,4530,30,radio/TV,Good,477.1269694510718,Accepted
33,male,Skilled,own,little,little,5150,24,furniture/equipment,Good,530.9526335622031,Accepted
64,male,Unskilled-Resident,rent,little,little,2384,24,radio/TV,Good,523.1944397323889,Accepted
26,female,Skilled,own,little,little,1453,18,radio/TV,Good,813.7275714195704,Accepted
56,female,Skilled,own,little,little,1538,6,education,Good,832.0347514336153,Accepted
37,male,Skilled,free,little,little,2279,12,radio/TV,Good,822.7353458084773,Accepted
33,male,Skilled,own,little,little,1478,15,radio/TV,Good,820.191544196935,Accepted
47,male,Skilled,free,little,little,5103,24,radio/TV,Good,529.8583291393238,Accepted
27,male,Skilled,own,little,rich,1347,10,radio/TV,Good,874.2717675565151,Accepted
30,male,Skilled,free,moderate,moderate,2862,36,car,Good,484.3777931929944,Accepted
35,male,Skilled,own,moderate,little,2753,9,radio/TV,Good,575.2831496219644,Accepted
31,male,Skilled,own,rich,little,3651,12,car,Good,561.51145163015,Accepted
25,male,Skilled,own,little,little,975,15,furniture/equipment,Good,827.5961315610299,Accepted
25,female,Unskilled-Resident,own,moderate,moderate,2631,15,repairs,Good,573.1505045295662,Accepted
29,male,Skilled,own,moderate,moderate,2896,24,radio/TV,Good,533.2478761140569,Accepted
44,male,Unskilled-Resident,own,little,little,4716,6,car,Good,552.1912267086152,Accepted
28,male,Skilled,own,little,little,2284,24,radio/TV,Good,802.5363364907837,Accepted
50,male,Skilled,rent,quite rich,little,1236,6,car,Good,823.1830799835246,Accepted
29,male,Skilled,own,little,moderate,1103,12,radio/TV,Good,822.7353458084773,Accepted
38,female,Unskilled-Non Resident,own,little,little,926,12,car,Good,805.8807307473214,Accepted
24,male,Skilled,own,little,little,1800,18,radio/TV,Good,810.8798105421102,Accepted
40,male,Highly Skilled,rent,little,rich,1905,15,education,Good,816.8425560284892,Accepted
29,female,Unskilled-Resident,rent,quite rich,little,1123,12,furniture/equipment,Good,834.6910869482151,Accepted
47,female,Skilled,free,moderate,rich,1377,24,radio/TV,Good,834.1313123096509,Accepted
41,male,Skilled,own,moderate,moderate,2503,30,business,Good,480.9882462182613,Accepted
32,female,Skilled,own,little,moderate,2528,27,business,Good,487.2255540704545,Accepted
25,female,Skilled,rent,little,moderate,2969,12,furniture/equipment,Good,566.7351741823197,Accepted
25,female,Skilled,own,little,moderate,1206,9,radio/TV,Good,847.4193708761511,Accepted
37,male,Unskilled-Resident,own,little,moderate,2118,9,radio/TV,Good,834.8717800827421,Accepted
32,male,Highly Skilled,own,quite rich,little,629,18,radio/TV,Good,786.4101917802151,Accepted
35,female,Skilled,free,little,little,1198,6,education,Good,835.4242984083484,Accepted
46,male,Highly Skilled,own,little,little,2476,21,car,Good,485.6625261850216,Accepted
25,male,Unskilled-Resident,own,little,little,1138,9,radio/TV,Good,844.571609998691,Accepted
40,male,Skilled,own,little,little,3077,30,radio/TV,Good,500.69062215687734,Accepted
32,male,Highly Skilled,free,little,little,1505,18,radio/TV,Good,768.3430795591486,Accepted
31,male,Skilled,own,little,rich,3148,24,radio/TV,Good,575.0844679461459,Accepted
34,male,Highly Skilled,own,little,rich,1337,9,radio/TV,Good,843.8714708478183,Accepted
24,female,Skilled,rent,rich,moderate,433,6,education,Good,856.5273511384288,Accepted
24,female,Unskilled-Resident,own,little,little,1228,12,car,Good,815.5805606632703,Accepted
66,female,Unskilled-Resident,own,quite rich,moderate,790,9,radio/TV,Good,852.3971062065357,Accepted
41,female,Unskilled-Resident,own,rich,little,250,6,car,Good,832.6947302679197,Accepted
47,male,Unskilled-Resident,own,quite rich,little,1316,15,radio/TV,Good,834.8691094432684,Accepted
25,female,Skilled,rent,little,little,1882,18,radio/TV,Good,807.0636820126355,Accepted
36,male,Skilled,own,rich,rich,1275,24,business,Good,833.0378346893743,Accepted
21,male,Unskilled-Resident,rent,little,little,1987,24,radio/TV,Good,795.8724470838488,Accepted
44,female,Unskilled-Resident,own,little,moderate,760,8,radio/TV,Good,834.3299939854692,Accepted
28,female,Skilled,rent,rich,little,2603,24,car,Good,537.4963137829816,Accepted
37,female,Skilled,own,little,little,3380,4,car,Good,558.4285345608084,Accepted
29,female,Unskilled-Non Resident,own,little,moderate,3990,36,domestic appliances,Good,504.63268745721666,Accepted
35,male,Unskilled-Resident,own,moderate,little,4380,18,car,Good,521.8889742267676,Accepted
26,female,Unskilled-Resident,rent,moderate,moderate,4280,30,business,Good,490.26149457946855,Accepted
32,male,Skilled,own,moderate,little,2325,24,car,Good,513.5455001754409,Accepted
23,male,Unskilled-Resident,own,little,moderate,1048,10,radio/TV,Good,832.4351757244261,Accepted
41,male,Skilled,own,little,little,3160,21,radio/TV,Good,538.2018031906505,Accepted
22,male,Skilled,own,quite rich,little,2483,24,furniture/equipment,Good,558.7195756992186,Accepted
28,male,Unskilled-Resident,own,little,little,1797,13,business,Good,810.1889981742678,Accepted
23,female,Skilled,rent,little,little,2511,15,car,Good,546.7842391840152,Accepted
37,female,Unskilled-Resident,own,little,little,1274,12,car,Good,805.8807307473214,Accepted
26,male,Skilled,own,little,little,5248,21,car,Good,531.5888041427165,Accepted
33,male,Skilled,own,little,little,3029,15,car,Good,540.900537797541,Accepted
49,female,Skilled,own,little,little,428,6,furniture/equipment,Good,832.0347514336153,Accepted
23,female,Unskilled-Resident,own,little,little,976,18,car,Good,794.0251954809544,Accepted
23,female,Unskilled-Resident,rent,moderate,moderate,841,12,business,Good,808.9166712563353,Accepted
55,male,Skilled,free,rich,little,1555,12,repairs,Good,837.4129110548107,Accepted
32,female,Skilled,rent,little,little,1285,24,car,Good,769.3180021067441,Accepted
74,male,Unskilled-Non Resident,own,little,rich,1299,6,car,Good,853.616449001482,Accepted
39,male,Skilled,free,little,rich,1271,15,radio/TV,Good,858.6385890542908,Accepted
31,male,Skilled,own,little,little,1393,24,car,Good,773.1341306362189,Accepted
35,male,Skilled,own,little,little,691,12,car,Good,803.0329698698613,Accepted
59,female,Skilled,own,little,little,5045,15,car,Good,540.358751700268,Accepted
24,female,Skilled,rent,little,little,2124,18,furniture/equipment,Good,804.7684394607816,Accepted
24,male,Unskilled-Resident,own,little,little,2214,12,radio/TV,Good,832.4351757244261,Accepted
27,male,Skilled,own,moderate,little,2463,24,car,Good,523.2453300913899,Accepted
40,male,Unskilled-Resident,own,little,moderate,1155,12,radio/TV,Good,819.3457988337442,Accepted
31,male,Unskilled-Resident,own,little,little,3108,30,furniture/equipment,Good,501.78492657975653,Accepted
31,female,Skilled,rent,little,little,2901,10,car,Good,539.6282108796087,Accepted
28,male,Skilled,rent,little,moderate,3617,12,furniture/equipment,Good,563.8874133048596,Accepted
63,male,Unskilled-Resident,own,little,little,1655,12,radio/TV,Good,819.3457988337442,Accepted
26,female,Skilled,rent,little,little,2812,24,car,Good,519.4292015619151,Accepted
52,male,Skilled,own,moderate,little,2223,24,radio/TV,Good,789.4469596001018,Accepted
66,male,Unskilled-Non Resident,free,quite rich,rich,1480,12,car,Good,859.5471269482837,Accepted
25,female,Skilled,rent,little,little,1371,24,car,Good,779.0178320226929,Accepted
37,male,Skilled,own,little,little,3535,36,car,Good,484.3777931929944,Accepted
25,female,Skilled,own,little,little,3509,18,radio/TV,Good,554.1389409587927,Accepted
67,female,Skilled,own,little,moderate,3872,18,repairs,Good,541.0495640681106,Accepted
25,male,Skilled,own,little,moderate,4933,39,radio/TV,Good,487.55250366583806,Accepted
60,male,Skilled,own,rich,little,1940,24,car,Good,787.8116958825523,Accepted
31,male,Unskilled-Resident,own,little,moderate,1410,12,education,Good,820.4401032566234,Accepted
23,female,Unskilled-Resident,own,moderate,moderate,836,12,car,Good,815.5805606632703,Accepted
35,male,Unskilled-Resident,own,rich,moderate,1941,18,business,Good,799.5447169086119,Accepted
40,male,Skilled,own,quite rich,little,2675,22,radio/TV,Good,547.9254413603903,Accepted
38,male,Skilled,own,little,little,2751,48,car,Good,458.15029781127305,Accepted
39,female,Skilled,own,little,moderate,1188,21,business,Good,780.9358185902724,Accepted
27,male,Skilled,own,little,little,1221,6,furniture/equipment,Good,842.2763674468371,Accepted
51,male,Skilled,free,little,rich,2892,24,furniture/equipment,Good,569.399678419559,Accepted
32,male,Skilled,rent,quite rich,little,3062,24,furniture/equipment,Good,542.3558563763347,Accepted
22,female,Skilled,rent,moderate,little,2301,9,furniture/equipment,Good,838.4602389173623,Accepted
22,female,Unskilled-Resident,rent,little,little,1258,12,furniture/equipment,Good,826.3238046430974,Accepted
54,male,Skilled,own,little,little,717,24,car,Good,769.7445836614858,Accepted
35,male,Unskilled-Non Resident,own,little,moderate,1549,9,car,Good,815.1694041441261,Accepted
54,male,Skilled,free,little,little,1597,24,education,Good,787.1517170482479,Accepted
48,female,Unskilled-Resident,rent,little,moderate,1795,18,radio/TV,Good,793.9743051219535,Accepted
24,female,Skilled,own,little,little,4272,20,furniture/equipment,Good,551.8436984069388,Accepted
